UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
10385780,100201,09/07/2012,9:03,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19140702,4213082,09/23/2019,8:15,0553ab4d-9500-4cba-8d98-f4d7f89d5856,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2002,North,1,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Quarter Panel,,,,N,,Driver Inattention/Distraction,Unspecified
14887647,3307608,10/02/2015,17:18,2,NY,TAXI,,,,,,,,,Going Straight Ahead,,,,,,,,Driver Inattention/Distraction,
14889754,3308693,10/04/2015,20:34,1,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
14400270,297666,04/25/2013,21:15,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Other Vehicular,
17044639,3434155,05/02/2016,17:35,219456,NY,4 dr sedan,MERZ -CAR/SUV,,2015,East,2,M,Licensed,FL,Merging,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,,Driver Inattention/Distraction,Unsafe Lane Changing
19138701,4229067,10/24/2019,13:15,c53b43d9-419a-4ab1-9361-3f2979078d89,NY,Bus,FRHT-TRUCK/BUS,,2006,East,13,M,Licensed,NY,Parked,Left Front Quarter Panel,Left Front Quarter Panel,,,,N,,Unspecified,Unspecified
17303317,3503027,08/18/2016,12:39,672828,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2005,Southwest,2,F,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
12254536,196425,07/16/2013,11:20,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
11804847,2975897,11/26/2012,18:12,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Driver Inattention/Distraction,
